Day	Month	Year	Qty	Unit Price	Person ID 
1	6	2019	23	10	1
14	6	2019	22	10	1
25	6	2019	17	10	7
10	7	2019	19	10	9
20	7	2019	23	10	10
22	7	2019	10	10	9
23	7	2019	13	10	2
25	7	2019	9	10	4
28	7	2019	21	10	8
29	8	2019	18	10	3
12	8	2019	14	10	7
18	8	2019	7	10	2
22	8	2019	20	10	3
24	8	2019	11	10	8
28	8	2019	7	10	6
4	6	2019	8	15	7
5	6	2019	19	15	1
7	6	2019	23	15	2
16	6	2019	24	15	3
20	6	2019	23	15	10
22	6	2019	18	15	5
28	6	2019	7	15	5
8	7	2019	19	15	2
13	7	2019	13	15	2
16	7	2019	7	15	8
17	7	2019	19	15	10
31	7	2019	24	15	2
1	8	2019	22	15	4
6	8	2019	10	15	6
7	8	2019	12	15	4
10	8	2019	15	15	5
15	8	2019	18	15	2
27	8	2019	17	15	4
2	6	2019	20	8	2
8	6	2019	23	8	8
10	6	2019	20	8	2
13	6	2019	24	8	9
19	6	2019	17	8	5
26	6	2019	9	8	4
29	6	2019	6	8	9
1	7	2019	15	8	4
7	7	2019	21	8	8
26	7	2019	7	8	8
3	8	2019	25	8	8
9	8	2019	10	8	1
13	8	2019	15	8	2
16	8	2019	8	8	3
21	8	2019	13	8	1
11	6	2019	18	5	5
17	6	2019	22	5	2
23	6	2019	24	5	6
27	7	2019	7	5	10
4	7	2019	15	5	5
5	7	2019	22	5	6
11	7	2019	15	5	7
14	7	2019	8	5	4
19	7	2019	6	5	7
4	8	2019	11	5	8
19	8	2019	12	5	9
25	8	2019	12	5	7
